disaster_id,disaster_type,disaster_subtype,country,region,location,lat,lng
871,Flood,Riverine flood,Cambodia,Asia,"Stung Treng, Kratie, Kampong Cham provinces",12.866939,105.944565
872,Flood,Riverine flood,Cambodia,Asia,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kratie, Phnom Penh, Preah Vihear, Prey Veng, Stung Treng, Takeo provinces",-4.481577,138.93526
873,Flood,Riverine flood,Cambodia,Asia,Koh Kong province,11.61101,102.981859
874,Flood,Riverine flood,Cambodia,Asia,"Kandal, Kampong Thom, Prey Veng, Kampong Cham, Kratie, Battambang, Kampong Chhnang, Preah Vihear, Pursat provinces",12.866939,105.944565
875,Flood,Flash flood,Cambodia,Asia,Banteay Meanchey province,13.5884,102.970027
876,Flood,Flood (General),Cambodia,Asia,"Teuk Chhou District (Kampot) (Mak Prang, Kampong Kreng, Stoeung Keo, Trapang Thum and Prey Khmum communes)",10.659045,104.205696
877,Flood,Riverine flood,Cambodia,Asia,"Battambang, Banteay Meanchey, Kampong Cham, Prey Veng, Kandal, Siem Reap, Kratie, Kampong Thom, Otdar Meanchey, Stung Treng, Pursat, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Svay Rieng, Phnom Penh, Takeo, Pailin, Kampot provinces",-4.481577,138.93526
878,Drought,Drought,Cambodia,Asia,"Banteay Meanchey, Battambang, Pursat, Kampong Speu provinces",11.464716,104.519463
879,Flood,Flood (General),Cambodia,Asia,Kampong Speu Province,11.464716,104.519463
880,Drought,Drought,Cambodia,Asia,Kampong Speu province,11.464716,104.519463
881,Drought,Drought,Cambodia,Asia,"Takeo, Kampot, Kampong Speu, Kampong Chhnang, Kandal, Prey Veng, Phnom Penh,Otdar Meanchey, Banteay Meanchey, Pursat, Battambang provinces",11.530254,104.8976
882,Flood,Riverine flood,Cambodia,Asia,"Kandal, Stung Treng, Prey Veng, Takeo, Kampong Chhnang, Banteay Meanchey, Svay Rieng, Kampong Speu, Kratie, Pursat, Kampot provinces",13.5884,102.970027
883,Epidemic,Bacterial disease,Cameroon,Africa,"Bameda, Buea",4.151854,9.243115
884,Epidemic,Bacterial disease,Cameroon,Africa,"Far North, South-West, and North-West, and Littoral regions",10.603308,14.328163
885,Epidemic,Bacterial disease,Cameroon,Africa,"Wum, Mbengwi, Bafut, Bamenda, Ndop districts",5.963662,10.155619
886,Epidemic,Bacterial disease,Cameroon,Africa,Kousseri town,12.075564,15.024619
887,Flood,Flash flood,Cameroon,Africa,"Bamenda City (Northwest Region, north-west Cameroon)",5.963662,10.155619
888,Epidemic,Bacterial disease,Cameroon,Africa,"Douala, Mbouda, Kousséri, Foumbot, Littoral and West regions",4.0424,9.707925
889,Epidemic,Bacterial disease,Cameroon,Africa,"Douala, Littoral, West and South-West provinces",4.0424,9.707925
890,Flood,Riverine flood,Cameroon,Africa,"Ekirozock, Nkomassi, Garoua, Ndamvout boroughs (Youndé City, Mfoundi district, Centre province)",3.864768,11.520526
891,Epidemic,Bacterial disease,Cameroon,Africa,"Meri, Mogobe, Makary, Kousseri, Mada, Koza, Guere, Mokolo, Hina, Kolofata, Roua, Kar Hay, Yagoua, Tokombéré",10.11654,14.971217
892,Epidemic,Bacterial disease,Cameroon,Africa,"Lake Chad Basin; Centre, Extreme Nord, LIttoral, Nord, Ouest, Sud Ouest",4.1568,9.231552
893,Epidemic,Bacterial disease,Cameroon,Africa,,30.123842,-93.824214
894,Epidemic,Bacterial disease,Cameroon,Africa,"Bourha, Goufley, Mogode, Mokolo, Hina, Roua, Kosa, Kousseri, Maroua riral, Mindif",10.595525,14.325325
895,Epidemic,Bacterial disease,Cameroon,Africa,"Guider, Mayo-Oulo, Figuil, Pitoa, Bibémi, Touboro, Garou I, Gaoua II, Gashiga, Golombé, Rey Bouba, Tcholiré",8.671202,14.176807
896,Epidemic,Bacterial disease,Cameroon,Africa,"North, Far North, Central, Littoral region",10.603308,14.328163
897,Drought,Drought,Cameroon,Africa,,30.123842,-93.824214
898,Flood,Flood (General),Cameroon,Africa,"Limbe, Fako Division",4.018898,9.197624
899,Flood,Flood (General),Cameroon,Africa,Logone et Chari and the Mayo-Danay Divisions (Far North Region ),10.603308,14.328163
900,Flood,Riverine flood,Cameroon,Africa,Littoral province,4.042941,9.706203
901,Flood,Flood (General),Cameroon,Africa,"Mayo-Danay, Mayo-Kani (Far North Region)",10.603308,14.328163
902,Flood,Flood (General),Cameroon,Africa,"Mokolo area (Mayo-Tsanaga district, Extrême - Nord province), Kolofata area (Mayo-Sava district, Extrême - Nord province)",10.603308,14.328163
903,Flood,Riverine flood,Cameroon,Africa,"Poss village (Mayo-Danay district, Extrême - Nord province)",10.603308,14.328163
904,Flood,Riverine flood,Cameroon,Africa,"Douala, Bonaberi areas (Wouril district, Littoral province)",4.0424,9.707925
905,Flood,Flash flood,Cameroon,Africa,"Limbé area (Fako district, Sud - Ouest province)",4.018898,9.197624
906,Drought,Drought,Cameroon,Africa,Nord province,9.30707,13.393453
907,Flood,Flash flood,Cameroon,Africa,"Dougui village (Kai Kai area, Mayo-Danay district, Extrême - Nord province)",10.666759,15.028457
908,Flood,Riverine flood,Cameroon,Africa,"Bénoue, Faro, Mayo-Louti, Mayo - Rey districts (Nord province), Diamaré, Logone - Et - Chari, Mayo-Danay, Mayo-Kani districts (Extrême - Nord province), Ngo-Ketunjia district (Nord - Ouest province), Haut - Nyong district (Est province)",12.802933,14.887716
909,Flood,Flood (General),Cameroon,Africa,"Douala V area (Douala city, Wouril district, Littoral province)",4.0424,9.707925
910,Epidemic,Viral disease,Cameroon,Africa,Mokolo district (Mayo-Tsanaga Division),10.74103,13.798742
911,Flood,Riverine flood,Cameroon,Africa,Adamaoua province,7.321196,13.58773
912,Drought,Drought,Cameroon,Africa,"Nord, Extrème-Nord provinces (Northern regions)",10.603308,14.328163
913,Flood,Riverine flood,Cameroon,Africa,"Sabongari, Oura-Kar, Bandoro Botare, Baksa villages (Bibemi area, Bénoue district, Nord province)",8.39841,14.23905
914,Flood,Flash flood,Cameroon,Africa,"Santchou, Bebong, Fondo Nera, Echiok, Nden-Ofoungouo, Fosso Ouasen Menoua Division",3.179427,11.961195
915,Epidemic,Parasitic disease,Canada,Americas,"Saskatchewan, Alberta",53.790778,-111.685712
916,Epidemic,Viral disease,Canada,Americas,"Alberta, Ontario, Quebec",44.31727,-77.1346
917,Flood,Riverine flood,Canada,Americas,Alberta,54.642672,-114.757176
918,Flood,Flood (General),Canada,Americas,"Baie-Saint-Paul (Charlevoix Region), Saint-Côme and Sainte-Émélie-de-l'Énergie (Lanaudière Region, south-western Quebec).",47.44144,-70.505226
919,Flood,Flood (General),Canada,Americas,"East and West Hants Regional Municipality, Halifax Regional Municipality, Lunenburg and Queens counties in southern Nova Scotia",44.376984,-64.31106
920,Flood,Flash flood,Canada,Americas,"Ontario, Alberta, Quebec provinces",49.451564,-84.253981
921,Flood,Riverine flood,Canada,Americas,"Baie Verte, Middle Arm, Smith's Harbour, Burlington cities (Division No.8 district, Newfoundland and Labrador province)",49.703743,-56.089813
922,Flood,Riverine flood,Canada,Americas,New Brunswick / Nouveau-Brunswick province,45.904017,-64.365255
923,Flood,Riverine flood,Canada,Americas,"Perth-Andover village (Victoria district, New Brunswick province)",46.737766,-67.70078
924,Flood,Flood (General),Canada,Americas,"Chetwynd, Lemoray, Dawson Creek, Link Creek, Braden Road, Mackenzie, Fort St. John cities (Peace River district, British Columbia/Colombie-Britannique province)",39.779845,-1.272274
925,Flood,Flood (General),Canada,Americas,"Ottawa (Cumberland, Constance Bay,Fitzroy Harbour, Dunrobin, Britannia, West Carleton-March, MacLarens Landing), Champlain Township (Prescott and Russell), Lanark (Ontario); Montreal, Gatineau, Laval (Quebec); Thompson Nicola (Cache Creek, Lower Nicola Indian Band) Columbia Shushwap (Tappen), Central Okanagan (Kelowna, West Kelowna, Lake country, Fintry Delta),North Okanogan (Lumby), Okanagan Similkameen (Garnett Valley,Summerland), Kootenay Boundary (Grand Forks) (British Colombia); Canadian Maritimes; York, Sunburry (Fredericton, Maugerville), Queens (Jemseg) (New Brunswick) ; Cape Breton Island (Nova Scotia)",39.779845,-1.272274
926,Flood,Riverine flood,Canada,Americas,"Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Vallee cities (Kenora district, Ontario province), Ignace, Lake of the Woods, Nestor Falls, Sioux Narrows, Machin cities (Rainy river district, Ontario province)",39.779845,-1.272274
927,Flood,Flash flood,Canada,Americas,"Bois-Franc municipality (La Vallée-de-la-Gatineau district, Quebec province)",46.502815,-75.9822
928,Flood,Riverine flood,Canada,Americas,"Squamish, Pemberton, Whistler, Mount Currie cities (Squamish-Lillooet district, Bristish Columbia province), Fraser Valley city (Fraser Valley district, British Columbia province), Capital district (Bristish Columbia province)",39.779845,-1.272274
929,Flood,Riverine flood,Canada,Americas,"Aklavik city (Region 1 district, Northwest Territories province)",68.21864,-135.01561
930,Flood,Riverine flood,Canada,Americas,"Red Earth First Nation, Porcupine Plain cities (Division No.14 district, Saskatchewan province), Fishing Lake (Division No.10 district, Saskatchewan province)",52.599026,-103.25435
931,Flood,Riverine flood,Canada,Americas,"Fort Albany city (Cochrane district, Ontario province)",52.21071,-81.68243
932,Flood,Riverine flood,Canada,Americas,"Terrace city (Kitimat-Stikine district, British-Columbia province), Smithers city, Telkwa village (Bulkley-Nechako district, British-Columbia province), Prince George city, McBride village (Fraser-Fort George district, British Columbia province)",39.779845,-1.272274
933,Flood,Riverine flood,Canada,Americas,"Belleville city, Foxboro community, Tweed village (Hastings district, Ontario province), Campbellford, Trent Hills municipality (Northumberland district, Ontario province), Ottawa city (Ottawa province, Ontario province)",39.779845,-1.272274
934,Flood,Flash flood,Canada,Americas,"Burlington city (Halton district, Ontario province)",43.326,-79.7983
935,Flood,Flood (General),Canada,Americas,British Columbia,55.171215,-125.022797
936,Flood,Flood (General),Canada,Americas,"Windsor, Tecumseh, Essex (Ontario)",42.316418,-83.03833
937,Flood,Flood (General),Canada,Americas,"Ontario, Nouveau-Brunswick, Quebec",46.053026,-65.008596
938,Flood,Flood (General),Canada,Americas,"Fraser Valley, Okanagan-Similkameen, Thompson-Nicola,Vancouver (British Columbia)",49.17095,-121.95257
939,Flood,Flood (General),Canada,Americas,Southern Manitoba Province,49.834802,-99.972337
940,Flood,Riverine flood,Canada,Americas,"Badger town (Division No. 6 district, Newfoundland and Labrador province)",48.97663,-56.036587
941,Flood,Riverine flood,Canada,Americas,"Colchester, Cumberland districts (Nova Scotia/Nouvelle Ecosse province)",45.36459,-63.276306
942,Flood,Riverine flood,Canada,Americas,"Stephenville & Kippens towns (Division No. 4 district, Newfoundland and Labrador province), Reidville town (Division No. 5 district, Newfoundland and Labrador province)",39.779845,-1.272274
943,Flood,Riverine flood,Canada,Americas,"Grand Forks city (Kootenay Boundary district, British Columbia province), Nelson city (Central Kootenay district, British Columbia province), Penticton city (Okanagan-Similkameen district, British Columbia province)",39.779845,-1.272274
944,Flood,Riverine flood,Canada,Americas,"James Bay area (Cochrane, Kenora districts, North Ontario province)",49.7664,-94.4909
945,Flood,Riverine flood,Canada,Americas,"Manitoba, Saskatchewan, Quebec, Alberta provinces",51.64803,-113.555818
946,Flood,Riverine flood,Canada,Americas,"Calgary city (Division No. 6 district, Southern Alberta province)",51.0457,-114.067955
947,Flood,Flood (General),Canada,Americas,"Manitoba, northern Alberta and Northwest Territories",63.696355,-118.54025
948,Flood,Riverine flood,Canada,Americas,"Black Diamond, High River, Otokoks, Turner Valley towns (Division No. 6 district, Alberta province), Pincher Creek city (Division No. 3 district, Alberta province), Lethbridge city (Division No. 2 district, Alberta province), Siksika Reserve, Drumheller cities (Division No. 5 district, Alberta province), Red Deer city (Division No. 8 district, Alberta province)",39.779845,-1.272274
949,Flood,Riverine flood,Canada,Americas,"Winnipeg (Division No. 11 district, Manitoba province) Selkirk, St Clements, Breezy Point (Division No.13 district, Manitoba province)",49.89558,-97.138596
950,Flood,Flood (General),Canary Islands,Africa,"La Palma Island (Santa Cruz de Tenerife, Canarias), Grand Canary Island (Las Palmas, Canarias)",28.469648,-16.254088
951,Flood,Riverine flood,Canary Islands,Africa,Santa Cruz de Tenerife (Canarias) (North),28.469648,-16.254088
952,Epidemic,Bacterial disease,Central African Republic,Africa,"Ouaham-Pende, Haute Kotto, Bangui",6.533332,21.99033
953,Epidemic,Viral disease,Central African Republic,Africa,Oudda-Djalle,6.737688,19.813457
954,Epidemic,Bacterial disease,Central African Republic,Africa,Basse-Kotto,4.325437,21.177812
955,Epidemic,Bacterial disease,Central African Republic,Africa,Paoua,7.2407,16.432496
956,Epidemic,Viral disease,Central African Republic,Africa,Bangui,4.390715,18.550913
957,Epidemic,Bacterial disease,Central African Republic,Africa,"Paoua, Bosum",7.2407,16.432496
958,Flood,Riverine flood,Central African Republic,Africa,Bangui district (Bangui province),4.390715,18.550913
959,Epidemic,Bacterial disease,Central African Republic,Africa,"Ombella-Mpoko, Lobaye (Limbo region); Sékia, Bokélo, Mondoli, Monza, Bokassi, Nzinga, Sedale",4.332555,18.525051
960,Flood,Riverine flood,Central African Republic,Africa,"Issongo, Bea-Rex Makambo, Sara Banga-2-Gbaya Dombia, Bibalé, Souma Poto Poto, Fondo Yakite, Sara-Dah areas (Bangui district, Bangui province)",30.724958,-88.06624
961,Epidemic,Viral disease,Central African Republic,Africa,Bokarangue-Koui district,6.936801,15.448086
962,Flood,Flood (General),Central African Republic,Africa,Bangui,4.390715,18.550913
963,Epidemic,Viral disease,Central African Republic,Africa,"Paoua, Vakaga, Batangafo, Bocaranga-Koui, Ngaoundaye, Bambari, Bangui 1, Bégoua, Nangha-Boguila, Baboua-Abba;",4.390715,18.550913
964,Drought,Drought,Central African Republic,Africa,,6.571341,20.482826
965,Flood,Flood (General),Central African Republic,Africa,"Mbomou, Moyenne-Sido prefectures",8.223365,18.715955
966,Flood,Flood (General),Central African Republic,Africa,Moyenne Sido (prefecture of Ouham),8.223365,18.715955
967,Flood,Flash flood,Central African Republic,Africa,Sibut district (Kémo province),5.735083,19.085054
968,Epidemic,Bacterial disease,Central African Republic,Africa,"Mourou-Fleuve village (NDjoukou district, Kemo province); Zawara, Danga, Massamba (Damara district); Bangui",5.162624,19.528112
969,Flood,Flash flood,Central African Republic,Africa,"Bama village (Bria district, Haute-Kotto province), Bangui district (Bangui province), Mobaye district (Basse-Kotto province)",4.973273,21.787745
