"year","countrycode","boys_reached","boys_targeted","girls_reached","girls_targeted","men_reached","men_targeted","women_reached","women_targeted","total_reached","total_targeted"
"2018","SSD","1456623","1176756","1591460","1302021","1461428","1184619","2190900","1679189","6700411","5342585"
"2018","SDN","1406426","1047282","1725407","1129532","1683432","1391413","2089844","1647924","6905109","5216151"
"2018","SYR","728271","659741","777499","746840","627214","588741","1040026","963372","3173010","2958694"
"2018","YEM","2550927","2158630","2700166","2286467","2395590","1861764","3982768","2530978","11629451","8837839"
"2017","AFG","1698402","1424397","1357705","1244407","1228930","1046295","1809565","1475774","6094602","5190873"
"2017","CAR","294835","248587","306256","253346","283424","257285","329623","300225","1214138","1059443"
"2017","COL","4981","3739","4735","3797","3791","3746","4876","3797","18383","15079"
"2017","DRC","394710","344686","420925","377060","214591","209431","305223","301423","1335449","1232600"
"2017","ETH","6116657","5832206","5677113","5224572","5593207","5539309","6046170","5622632","23433147","22218719"
"2017","IRQ","1260242","997714","1351949","1099480","1268804","1026187","1503666","1273074","5384661","4396455"
"2017","JOR","37153","24688","35402","25562","30339","22452","33590","25614","136484","98316"
"2017","LBN","20879","20512","22318","22051","29470","25717","39501","30193","112168","98473"
"2017","MMR","111124","106569","117063","111763","103965","99372","166605","124567","498757","442271"
"2017","NGA","1288765","962481","1413092","1100052","355743","212817","743440","484924","3801040","2760274"
"2017","PSE","1405136","1273206","1392729","1256685","2483544","2475348","2544517","2493993","7825926","7499232"
"2017","PAK","103602","74822","111953","71401","103117","73577","164212","102393","482884","322193"
"2017","SOM","1123644","1025368","1206070","1075973","5739917","5698273","6309187","6030971","14378818","13830585"
"2017","SSD","1492420","1179374","1730000","1346354","1074334","970407","1790896","1601300","6087650","5097435"
"2017","SDN","1700411","1603819","1973454","1846616","1636096","1843427","2230962","2266594","7540923","7560456"
"2017","SYR","413112","348104","465295","392033","279763","261757","615685","521236","1773855","1523130"
"2017","YEM","1838415","1410591","1900555","1432813","1623946","1566360","2456030","1885705","7818946","6295469"
"2016","AFG","798621","750252","740303","710963","715904","795805","859481","803501","3114309","3060521"
"2016","CAR","1004050","1077513","1045463","1111860","825865","911031","914321","959887","3789699","4060291"
"2016","COL","4386","2782","4423","2908","3906","3575","4907","4304","17622","13569"
"2016","DRC","466660","520545","539131","637679","472998","591517","635075","744643","2113864","2494384"
"2016","ETH","2531670","2559102","2715703","2599713","6766845","9795802","9217203","12691953","21231421","27646570"
"2016","IRQ","1658199","1314580","1872029","1470328","1483291","1064496","2350721","2104838","7364240","5954242"
"2016","JOR","154902","146025","161492","154696","83788","89116","121875","121615","522057","511452"
"2016","LBN","162685","141228","179384","158538","124594","125201","219699","183461","686362","608428"
"2016","MMR","41927","44113","42591","45720","41779","43123","50601","52132","176898","185088"
"2016","PSE","133457","129496","131656","129086","142382","137636","145104","140451","552599","536669"
"2016","PAK","76727","84882","80640","89367","532353","439525","381192","448477","1070912","1062251"
"2016","SOM","356340","281012","381011","305109","2732925","2653577","2994027","2957433","6464303","6197131"
"2016","SSD","2448730","2038723","2810281","2336661","2029396","1885200","3086671","2679584","10375078","8940168"
