"countrycode","year","cluster","requirements","funding","percentfunded"
"AFG","2011","COMMON SERVICES","21117110","16490576","78"
"AFG","2011","COORDINATION","13203271","14172587","107"
"AFG","2011","EDUCATION","6646083","4590738","69"
"AFG","2011","EMERGENCY SHELTER","34939026","7402569","21"
"AFG","2011","FOOD SECURITY AND AGRICULTURE","330337502","258138303","78"
"AFG","2011","HEALTH","12299239","14129133","115"
"AFG","2011","MULTI-SECTOR","90130706","31479038","35"
"AFG","2011","NUTRITION","45974398","31251364","68"
"AFG","2011","PROTECTION","8614888","6217881","72"
"AFG","2011","WATER,SANITATION AND HYGIENE","18546404","13023300","70"
"AFG","2010","COMMON SERVICES","27064925","22859926","84"
"AFG","2010","EDUCATION ","33144241","621911","2"
"AFG","2010","EMERGENCY SHELTER","50802560","31890043","63"
"AFG","2010","FOOD SECURITY AND AGRICULTURE ","368691762","276658180","75"
"AFG","2010","HEALTH","12702186","6236306","49"
"AFG","2010","MULTI-SECTOR ","79714395","47842527","60"
"AFG","2010","NUTRITION","8669571","6263336","72"
"AFG","2010","PROTECTION","154274534","102737057","67"
"AFG","2010","WATER, SANITATION AND HYGIENE","39444136","7983666","20"
"AFG","2009","Common Services ","30181446","35062614","116"
"AFG","2009","Education","17394371","27715522","159"
"AFG","2009","Emergency Shelter","36141262","25472179","70"
"AFG","2009","Emergency Telecommunications","330167","330167","100"
"AFG","2009","Food Security and Agriculture","352502935","343597498","97"
"AFG","2009","Health","37176839","1905356","5"
"AFG","2009","Multi-Sector","42106632","27927321","66"
"AFG","2009","Nutrition","6769364","1271380","19"
"AFG","2009","Protection","119457702","32352913","27"
"AFG","2009","Water, Sanitation and Hygiene","22862337","9305892","41"
"AFG","2008","AGRICULTURAL RECOVERY ","176707600","57152879","32"
"AFG","2008","FOOD SECURITY","203055924","136627075","67"
"AFG","2008","HEALTH","8090000","1195425","15"
"AFG","2008","NUTRITION","2875340","447795","16"
"AFG","2008","WATER, SANITATION AND HYGIENE","8556000","3704720","43"
"BDI","2024","Abris et ANA","6300000","3318689","53"
"BDI","2024","Eau, Hygiène et Assainissement","4691100","946583","20"
"BDI","2024","Education","1440000","1403816","97"
"BDI","2024","Nutrition","736200","1161271","158"
"BDI","2024","Protection","2020800","3614807","179"
"BDI","2024","Santé","1730940","1886670","109"
"BDI","2024","Sécurité Alimentaire et Moyens D’existence","9112000","9948886","109"
"BDI","2023","Abris / Articles Non-Alimentaires","18625000","2987585","16"
"BDI","2023","Coordination","1500000","1256141","84"
"BDI","2023","Eau, Hygiène et Assainissement","3160716","309945","10"
"BDI","2023","Education","4983610","3329738","67"
"BDI","2023","Nutrition","21040025","8206955","39"
"BDI","2023","Protection","4831117","3824581","79"
"BDI","2023","Réponse aux Rapatriés","50930970","7691753","15"
"BDI","2023","Réponse aux Réfugiés","55343761","44292558","80"
"BDI","2023","Santé","3464920","1757934","51"
"BDI","2023","Sécurité alimentaire","73300000","11157117","15"
"BDI","2022","Abris / Articles Non-Alimentaires","19309592","3166288","16"
"BDI","2022","Coordination","2500000","1816654","73"
"BDI","2022","Eau, Hygiène et Assainissement","9714144","783903","8"
"BDI","2022","Education","5332710","988823","19"
"BDI","2022","Nutrition","15053544","4261301","28"
"BDI","2022","Protection","17395692","5204978","30"
